City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Itarema,BR,76.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
2,Juneau,US,60.8,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
3,Horki,BY,59.9,overcast clouds,54.2861,30.9842,Gostinitsa Pronya Top
4,Faanui,PF,78.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Ancud,CL,52.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
6,Atuona,PF,77.5,clear sky,-9.8,-139.0333,Villa Enata
7,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Vanimo,PG,83.75,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
9,Rikitea,PF,73.35,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Arraial Do Cabo,BR,67.87,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
11,Cape Town,ZA,56.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
12,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
13,Mwene-Ditu,CD,70.57,clear sky,-7.0,23.45,African'zuri
14,Bang Saphan,TH,77.16,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
15,Assiniboia,CA,77.59,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
16,Provideniya,RU,53.71,clear sky,64.3833,-173.3,
17,Bethel,US,77.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
18,Roald,NO,61.75,light rain,62.5833,6.1333,Flem Cabins
19,New Norfolk,AU,53.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Hermanus,ZA,50.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Busselton,AU,57.65,broken clouds,-33.65,115.3333,Observatory Guest House
22,Wenling,CN,87.75,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
23,Albany,US,70.05,clear sky,42.6001,-73.9662,
24,Yellowknife,CA,65.61,overcast clouds,62.456,-114.3525,The Explorer Hotel
25,Chara,RU,61.47,broken clouds,56.9064,118.2631,
26,Cabo San Lucas,MX,88.11,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Mukhen,RU,71.64,few clouds,48.1,136.1,
29,Namatanai,PG,83.93,light rain,-3.6667,152.4333,Seagulls Inn Namatani
31,Sobolevo,RU,59.43,overcast clouds,54.4299,31.8996,
32,Nikolskoye,RU,58.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
33,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Green leaf
34,Aklavik,CA,61.84,overcast clouds,68.2191,-135.0107,Aklavik Inn
35,Prince Rupert,CA,63.88,clear sky,54.3161,-130.3201,Crest Hotel
37,Santiago Del Estero,AR,56.3,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
39,Epe,NG,74.52,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
40,Leningradskiy,RU,47.26,broken clouds,69.3833,178.4167,Gostinitsa
41,Caravelas,BR,73.15,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
43,Vao,NC,68.02,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
45,Port Elizabeth,ZA,52.09,clear sky,-33.918,25.5701,39 On Nile Guest House
46,Butaritari,KI,81.84,few clouds,3.0707,172.7902,Isles Sunset Lodge
47,Chuy,UY,48.36,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,La Romana,DO,80.96,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
49,Rio Grande,BR,45.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
50,General Roca,AR,49.75,clear sky,-39.0333,-67.5833,Hotel El Recreo
51,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
52,Pasewalk,DE,61.9,few clouds,53.5063,13.99,"Restaurant und Hotel Am Park, Regionale Küche"
53,Igbo Ora,NG,71.19,overcast clouds,7.4333,3.2833,Pinkbell Inn
54,Severo-Kurilsk,RU,60.51,few clouds,50.6789,156.125,Kak Doma
55,Tuktoyaktuk,CA,46.62,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
56,Samarai,PG,79.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
57,Labuhan,ID,83.05,broken clouds,-6.8844,112.2051,DoubleFAG
59,Mar Del Plata,AR,49.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
60,Melnikovo,RU,68.9,clear sky,56.5558,84.085,Шегарка
61,Hobart,AU,53.46,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
62,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
63,Kruisfontein,ZA,48.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
64,Nabire,ID,76.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
65,Bonavista,CA,56.82,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
66,Castro,BR,46.4,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
67,Lakhipur,IN,82.29,clear sky,26.0299,90.3041,Rajdhani Hotel
68,Brest,BY,54.82,clear sky,52.1,23.7,Yenergija Gostinica Filial Rup Brestyenergo
69,Tamandare,BR,73.26,clear sky,-8.7597,-35.1047,Pousada 100 Passos
70,Baiyin,CN,76.39,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
71,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
72,Paraiso,CR,68.41,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
73,Nsanje,MW,64.31,clear sky,-16.92,35.262,Nsanje Discovery Lodge
74,Chokurdakh,RU,71.2,overcast clouds,70.6333,147.9167,
75,Jamestown,US,65.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
76,Bilibino,RU,73.35,few clouds,68.0546,166.4372,Gostinitsa Severyanka
77,Beloha,MG,62.55,clear sky,-25.1667,45.05,
79,Torbay,CA,58.57,overcast clouds,47.6666,-52.7314,Gallows Cove
80,Cap-Aux-Meules,CA,64.94,overcast clouds,47.3821,-61.8597,Auberge Madeli
81,Dickinson,US,77.99,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
82,Troitsko-Pechorsk,RU,53.47,light rain,62.7084,56.1964,Pechora Gostinitsa
83,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
84,Tessalit,ML,88.03,scattered clouds,20.1986,1.0114,
85,Douentza,ML,84.58,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
86,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
87,Khatanga,RU,45.59,overcast clouds,71.9667,102.5,"""Khatanga"""
88,Bengkulu,ID,80.74,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
89,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Esperance,AU,57.97,broken clouds,-33.8667,121.9,Hospitality Esperance
91,Balkhash,KZ,61.41,clear sky,46.844,74.9804,Family
92,Saint-Philippe,RE,63.99,light rain,-21.3585,55.7679,Le four à pain
93,Baykit,RU,58.53,overcast clouds,61.67,96.37,
94,Thompson,CA,60.24,clear sky,55.7435,-97.8558,Burntwood Hotel
95,Berbera,SO,88.86,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
96,Ribeira Grande,PT,72.54,broken clouds,38.5167,-28.7,Quinta da Meia Eira
97,Namibe,AO,60.94,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
99,East London,ZA,60.85,overcast clouds,-33.0153,27.9116,Tu Casa
100,Inhambane,MZ,67.64,clear sky,-23.865,35.3833,Oceano
101,Moron,AR,55.15,clear sky,-34.6534,-58.6198,Hotel Morón
102,Bonthe,SL,76.01,moderate rain,7.5264,-12.505,Bonthe Holiday Village
103,Sedhiou,SN,75.87,overcast clouds,12.7081,-15.5569,Auberge Cheznous
104,Madimba,TZ,68.65,scattered clouds,-10.4,40.3333,
106,Carnarvon,AU,62.17,clear sky,-24.8667,113.6333,Hospitality Carnarvon
107,Catamarca,AR,59.77,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
108,Collie,AU,56.52,few clouds,-33.3667,116.15,Collie Ridge
109,At-Bashi,KG,62.2,few clouds,41.1702,75.8106,Hostel At-Bashy
110,Lorengau,PG,84.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Hovd,MN,66.34,overcast clouds,48.0056,91.6419,Hotel Khovd
112,Tautira,PF,77.47,broken clouds,-17.7333,-149.15,Pension Oaoa
113,Vallenar,CL,64.45,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
114,Terney,RU,77.77,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
115,Victor Harbor,AU,57.99,few clouds,-35.5667,138.6167,McCracken Country Club
116,Krutaya Gorka,RU,65.88,overcast clouds,55.3649,73.2231,
117,Barrow,US,46.42,light rain,71.2906,-156.7887,King Eider Inn
118,Grand Forks,US,71.33,clear sky,47.9417,-97.4337,Warrior Inn
119,Cockburn Town,TC,81.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
120,Mecca,SA,88.61,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
121,Lompoc,US,85.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
122,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
123,Muskegon,US,73.89,scattered clouds,43.3,-86.1334,Timberline Estates
125,Egvekinot,RU,60.31,few clouds,66.3167,-179.1667,
126,Kieta,PG,84.96,light rain,-6.2167,155.6333,Uruna Bay Retreat
127,Olafsvik,IS,49.03,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
128,Zhangye,CN,81.48,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
129,Abu Kamal,SY,81.72,clear sky,34.4506,40.9171,البوكمال
130,Danielskuil,ZA,52.68,overcast clouds,-28.1887,23.5395,Botha'Sig Gastehuis
131,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Central
132,Brae,GB,54.37,overcast clouds,60.3964,-1.353,Busta House Hotel
133,Saskylakh,RU,49.57,overcast clouds,71.9167,114.0833,
135,Hithadhoo,MV,82.08,clear sky,-0.6,73.0833,Scoop Guest House
136,Hakkari,TR,51.58,clear sky,37.5833,44.1667,Koprucek Koyu Muhtarligi
137,Barreirinha,BR,76.42,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
138,Severomuysk,RU,48.34,overcast clouds,56.1481,113.4267,
139,Richards Bay,ZA,62.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
140,Mountain Home,US,85.48,broken clouds,43.133,-115.6912,Mountain Home Inn
141,Mundwa,IN,83.91,clear sky,27.0667,73.8167,Mahadev Guest House
142,Port Moresby,PG,85.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
143,Zemio,CF,69.06,overcast clouds,5.0314,25.1361,OCHA Office
144,Port Lincoln,AU,53.85,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
145,Krasnogorsk,RU,57.54,clear sky,55.8225,37.3181,"Hotel ""Academy"""
146,Lazaro Cardenas,MX,82.54,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
147,Lebu,CL,46.36,clear sky,-37.6167,-73.65,Hostal Las Lilas
148,King City,US,81.64,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
149,Agua Verde,MX,86.09,overcast clouds,22.9,-106.05,
151,Bredasdorp,ZA,53.31,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
152,Fortuna,US,72.09,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
153,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
154,Bud,US,75.04,clear sky,39.447,-86.1758,Ted McQuinn Trust
155,Shumikha,RU,65.32,broken clouds,55.2261,63.2961,Shumikha
