City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Salinopolis,BR,2022-08-10 21:54:50,-0.6136,-47.3561,79.75,79,82,11.88
1,Dikson,RU,2022-08-10 21:53:12,73.5069,80.5464,41.94,90,99,10.83
2,Goderich,CA,2022-08-10 21:51:41,43.7501,-81.7165,75.9,64,0,4.92
3,Bredasdorp,ZA,2022-08-10 21:54:51,-34.5322,20.0403,50.97,95,86,3.98
4,Toora-Khem,RU,2022-08-10 21:54:51,52.4675,96.11,48.74,87,2,1.05
5,Bulgan,MN,2022-08-10 21:54:52,48.8125,103.5347,51.48,88,88,4.81
6,Carthage,TN,2022-08-10 21:54:52,36.8611,10.3316,80.13,74,20,5.75
7,Half Moon Bay,US,2022-08-10 21:54:53,37.4636,-122.4286,86.59,64,0,19.57
8,Arraial Do Cabo,BR,2022-08-10 21:53:10,-22.9661,-42.0278,73.26,83,75,14.97
9,Klaksvik,FO,2022-08-10 21:54:53,62.2266,-6.589,52.72,84,25,21.79
10,Norman Wells,CA,2022-08-10 21:54:54,65.282,-126.8329,55.26,51,100,13.0
11,Udachnyy,RU,2022-08-10 21:54:54,66.4167,112.4,53.46,93,100,3.42
12,Kabrai,IN,2022-08-10 21:54:54,25.4167,80.0167,81.7,78,93,18.54
13,Busselton,AU,2022-08-10 21:54:55,-33.65,115.3333,51.87,83,64,5.21
14,Ust-Maya,RU,2022-08-10 21:54:55,60.4167,134.5333,54.41,94,100,2.75
15,Rikitea,PF,2022-08-10 21:54:55,-23.1203,-134.9692,73.31,72,91,21.14
16,Saskylakh,RU,2022-08-10 21:54:56,71.9167,114.0833,49.3,78,45,12.48
17,Khatanga,RU,2022-08-10 21:51:49,71.9667,102.5,43.95,78,100,11.01
18,Castro,BR,2022-08-10 21:54:56,-24.7911,-50.0119,47.8,90,99,11.03
19,San Rafael,AR,2022-08-10 21:50:36,-34.6177,-68.3301,56.07,35,0,7.49
20,Rocha,UY,2022-08-10 21:53:08,-34.4833,-54.3333,45.52,88,56,5.93
21,Tabuk,PH,2022-08-10 21:54:57,17.4189,121.4443,74.1,95,100,2.01
22,Kavieng,PG,2022-08-10 21:51:55,-2.5744,150.7967,80.08,78,99,3.2
23,Port Alfred,ZA,2022-08-10 21:54:58,-33.5906,26.891,60.44,83,88,5.5
24,Punta Arenas,CL,2022-08-10 21:54:58,-53.15,-70.9167,42.91,81,0,2.3
25,Vaini,TO,2022-08-10 21:54:58,-21.2,-175.2,78.96,94,75,14.97
26,Hobart,AU,2022-08-10 21:54:59,-42.8794,147.3294,41.27,88,0,4.61
27,Narsaq,GL,2022-08-10 21:54:59,60.9167,-46.05,43.84,88,100,6.11
28,Apache Junction,US,2022-08-10 21:51:01,33.4151,-111.5496,103.32,31,0,10.36
29,Isangel,VU,2022-08-10 21:55:00,-19.55,169.2667,71.71,60,75,4.61
30,Avarua,CK,2022-08-10 21:55:00,-21.2078,-159.775,77.05,65,20,17.27
31,Panaba,MX,2022-08-10 21:55:01,21.2833,-88.2667,83.3,68,92,8.3
32,Chimbote,PE,2022-08-10 21:54:58,-9.0853,-78.5783,64.87,76,16,9.33
33,Hamilton,US,2022-08-10 21:50:11,39.1834,-84.5333,83.25,73,75,9.22
34,Qaanaaq,GL,2022-08-10 21:55:02,77.484,-69.3632,38.39,64,91,2.66
35,Vilyuysk,RU,2022-08-10 21:55:02,63.7553,121.6247,58.59,82,31,4.68
36,Roma,US,2022-08-10 21:54:53,43.2128,-75.4557,77.72,65,43,3.0
37,Monrovia,LR,2022-08-10 21:55:03,6.3005,-10.7969,75.88,87,99,11.27
38,Haines Junction,CA,2022-08-10 21:55:03,60.7522,-137.5108,45.55,93,100,2.1
39,Barrow,US,2022-08-10 21:55:04,71.2906,-156.7887,45.32,84,100,20.51
40,Ushuaia,AR,2022-08-10 21:53:04,-54.8,-68.3,40.66,87,40,20.71
41,Ilulissat,GL,2022-08-10 21:55:04,69.2167,-51.1,36.07,98,100,6.31
42,Sharjah,AE,2022-08-10 21:51:13,25.3573,55.4033,96.78,62,0,8.05
43,Port Hedland,AU,2022-08-10 21:55:05,-20.3167,118.5667,55.45,58,18,9.22
44,Upernavik,GL,2022-08-10 21:53:03,72.7868,-56.1549,41.4,84,95,10.38
45,Biltine,TD,2022-08-10 21:55:05,14.5333,20.9167,79.79,71,76,4.81
46,Touros,BR,2022-08-10 21:55:06,-5.1989,-35.4608,75.24,78,5,12.06
47,Qinzhou,CN,2022-08-10 21:55:06,21.95,108.6167,77.95,92,100,13.91
48,Nikolskoye,RU,2022-08-10 21:55:07,59.7035,30.7861,59.88,78,39,3.8
49,Puerto Ayora,EC,2022-08-10 21:55:07,-0.7393,-90.3518,80.56,91,83,7.0
50,Whitehorse,CA,2022-08-10 21:55:07,60.7161,-135.0538,51.31,81,100,5.99
51,Saint-Philippe,RE,2022-08-10 21:51:53,-21.3585,55.7679,65.79,79,58,15.55
52,Pangai,TO,2022-08-10 21:55:08,-19.8,-174.35,82.51,83,40,9.22
53,Milford,US,2022-08-10 21:55:08,41.2223,-73.0565,88.84,63,4,1.99
54,Ulaangom,MN,2022-08-10 21:55:09,49.9811,92.0667,64.99,50,100,3.49
55,Hami,CN,2022-08-10 21:55:09,42.8,93.45,88.41,18,45,11.3
56,Saint Anthony,US,2022-08-10 21:55:09,45.0205,-93.218,88.14,44,40,8.05
57,Cape Town,ZA,2022-08-10 21:51:50,-33.9258,18.4232,57.61,92,75,6.91
58,Lyaskelya,RU,2022-08-10 21:55:10,61.7667,31.0167,58.55,76,100,6.89
59,Jamestown,US,2022-08-10 21:55:11,42.097,-79.2353,78.03,54,75,8.05
60,Saldanha,ZA,2022-08-10 21:55:11,-33.0117,17.9442,57.25,92,100,1.66
61,Albany,US,2022-08-10 21:54:45,42.6001,-73.9662,79.66,62,12,6.29
62,Victoria,HK,2022-08-10 21:55:09,22.2855,114.1577,83.32,86,100,11.01
63,Sitka,US,2022-08-10 21:55:12,57.0531,-135.33,60.75,89,100,3.27
64,Atar,MR,2022-08-10 21:55:12,20.5169,-13.0499,96.89,9,47,9.73
65,Georgetown,MY,2022-08-10 21:55:12,5.4112,100.3354,81.9,95,20,3.44
66,Tomatlan,MX,2022-08-10 21:55:13,19.9333,-105.25,88.97,58,87,7.11
67,Longkou,CN,2022-08-10 21:55:13,37.6508,120.3286,72.27,91,100,6.69
68,Chokurdakh,RU,2022-08-10 21:55:14,70.6333,147.9167,64.22,52,68,11.34
69,Boa Vista,BR,2022-08-10 21:55:14,2.8197,-60.6733,89.58,51,40,8.05
70,Coquimbo,CL,2022-08-10 21:55:15,-29.9533,-71.3436,56.93,88,0,12.66
71,San Quintin,MX,2022-08-10 21:55:15,30.4833,-115.95,78.31,65,43,12.97
72,Pevek,RU,2022-08-10 21:50:28,69.7008,170.3133,39.7,92,99,4.38
73,Kaitangata,NZ,2022-08-10 21:55:16,-46.2817,169.8464,39.45,87,91,1.61
74,Pisco,PE,2022-08-10 21:55:16,-13.7,-76.2167,62.65,77,0,11.5
75,Ancud,CL,2022-08-10 21:55:17,-41.8697,-73.8203,51.22,93,100,15.75
76,Gojra,PK,2022-08-10 21:55:17,31.1487,72.6866,91.53,55,10,7.02
77,Lebu,CL,2022-08-10 21:55:17,-37.6167,-73.65,48.92,83,1,3.0
78,Tarko-Sale,RU,2022-08-10 21:55:18,64.9225,77.785,49.6,66,32,3.22
79,Tank,PK,2022-08-10 21:55:18,32.2217,70.3793,96.71,42,0,4.97
80,Xiongyue,CN,2022-08-10 21:55:19,40.1774,122.1228,68.88,88,0,7.27
81,Hithadhoo,MV,2022-08-10 21:53:01,-0.6,73.0833,81.81,73,22,7.11
82,Abong Mbang,CM,2022-08-10 21:55:19,3.9833,13.1833,68.58,98,100,4.09
83,Makrana,IN,2022-08-10 21:55:20,27.05,74.7167,83.01,66,75,14.97
84,Hofn,IS,2022-08-10 21:55:20,64.2539,-15.2082,53.8,66,7,6.62
85,Hermanus,ZA,2022-08-10 21:55:21,-34.4187,19.2345,54.81,88,79,6.96
86,Zambezi,ZM,2022-08-10 21:55:21,-13.5432,23.1047,60.3,22,0,5.48
87,Vao,NC,2022-08-10 21:55:21,-22.6667,167.4833,67.42,56,30,20.8
88,Xining,CN,2022-08-10 21:53:12,36.6167,101.7667,66.61,90,100,0.89
89,Carnarvon,AU,2022-08-10 21:55:22,-24.8667,113.6333,55.83,56,0,17.16
90,Mahebourg,MU,2022-08-10 21:55:22,-20.4081,57.7,68.25,77,40,17.27
91,Abeche,TD,2022-08-10 21:55:23,13.8292,20.8324,77.31,76,95,4.97
92,Yellowknife,CA,2022-08-10 21:55:23,62.456,-114.3525,71.28,49,100,10.11
93,Atuona,PF,2022-08-10 21:55:24,-9.8,-139.0333,77.4,76,13,21.72
94,Codrington,AU,2022-08-10 21:55:24,-38.2667,141.9667,47.48,94,100,13.73
95,Longjiang,CN,2022-08-10 21:55:25,47.3303,123.1836,61.25,67,72,6.24
96,Ciudad Guayana,VE,2022-08-10 21:55:25,8.3533,-62.6528,86.52,76,88,5.46
97,Bandarbeyla,SO,2022-08-10 21:55:25,9.4942,50.8122,77.07,80,94,32.53
98,Loandjili,CG,2022-08-10 21:55:26,-4.7561,11.8578,69.3,90,5,7.31
99,Wainwright,CA,2022-08-10 21:55:26,52.839,-110.8572,78.71,42,87,10.16
100,New Norfolk,AU,2022-08-10 21:55:27,-42.7826,147.0587,40.91,80,31,1.97
101,Bambous Virieux,MU,2022-08-10 21:55:27,-20.3428,57.7575,68.22,77,40,17.27
102,Umm Lajj,SA,2022-08-10 21:55:28,25.0213,37.2685,89.91,60,79,7.65
103,Port Elizabeth,ZA,2022-08-10 21:55:28,-33.918,25.5701,55.69,92,0,5.01
104,Tiksi,RU,2022-08-10 21:51:53,71.6872,128.8694,51.73,75,10,6.24
105,Babanka,UA,2022-08-10 21:55:28,48.7097,30.4483,60.42,89,100,12.64
106,Mecca,SA,2022-08-10 21:52:43,21.4267,39.8261,90.7,58,53,12.26
107,Bojnurd,IR,2022-08-10 21:55:29,37.4747,57.329,67.95,37,0,2.3
108,Dublin,US,2022-08-10 21:55:29,37.7021,-121.9358,88.83,45,0,8.01
109,Wanaka,NZ,2022-08-10 21:55:30,-44.7,169.15,32.41,93,93,0.72
110,Leh,IN,2022-08-10 21:55:30,34.1667,77.5833,67.08,49,82,4.7
111,Rincon,US,2022-08-10 21:52:20,32.296,-81.2354,89.56,53,100,4.14
112,Augusto Correa,BR,2022-08-10 21:55:31,-1.0217,-46.635,76.64,86,94,4.9
